Active,Name,Date-Time(UTC),Alt,Azmu,HTML,StarNo,RA(J2000),DEC(J2000),T_MAX(HJD),T_MAX(UT),tau,U_min,A_MAX,D_mag,f_bl,I_bl,I_o
True,BLG-1755,9-18-2015 0:54:0,23.141203289,186.530225344,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1755.html,BLG531.22  ,18:19:02.66,-27:43:45.7,2457431.327,2016-02-12.83,99.764,0.000,12756,10.264,1.000,13.937,13.937
True,BLG-0642,9-19-2015 0:0:0,23.8555186289,198.832940183,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0642.html,BLG715.13  ,17:34:09.47,-24:52:57.1,2457314.420,2015-10-18.92,120.795,0.161,6.263,1.992,1.000,16.739,16.739
True,BLG-1516,9-19-2015 0:0:0,21.3067779496,191.953504601,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1516.html,BLG505.27  ,17:59:13.76,-28:49:50.0,2457289.136,2015-09-23.64,64.333,0.343,3.042,1.208,0.341,15.072,16.241
True,BLG-1578,9-19-2015 0:0:0,23.7399375877,190.393407119,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1578.html,BLG518.22  ,18:07:31.52,-26:40:44.8,2457314.864,2015-10-19.36,53.880,0.000,16763,10.561,1.000,15.556,15.556
True,BLG-1755,9-19-2015 0:0:0,23.0476019632,187.47321078,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1755.html,BLG531.22  ,18:19:02.66,-27:43:45.7,2457431.327,2016-02-12.83,99.764,0.000,12756,10.264,1.000,13.937,13.937
True,BLG-0642,9-19-2015 0:54:0,23.8555186289,198.832940183,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0642.html,BLG715.13  ,17:34:09.47,-24:52:57.1,2457314.420,2015-10-18.92,120.795,0.161,6.263,1.992,1.000,16.739,16.739
True,BLG-1516,9-19-2015 0:54:0,21.3067779496,191.953504601,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1516.html,BLG505.27  ,17:59:13.76,-28:49:50.0,2457289.136,2015-09-23.64,64.333,0.343,3.042,1.208,0.341,15.072,16.241
True,BLG-1578,9-19-2015 0:54:0,23.7399375877,190.393407119,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1578.html,BLG518.22  ,18:07:31.52,-26:40:44.8,2457314.864,2015-10-19.36,53.880,0.000,16763,10.561,1.000,15.556,15.556
True,BLG-1755,9-19-2015 0:54:0,23.0476019632,187.47321078,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1755.html,BLG531.22  ,18:19:02.66,-27:43:45.7,2457431.327,2016-02-12.83,99.764,0.000,12756,10.264,1.000,13.937,13.937
True,BLG-0642,9-20-2015 0:0:0,23.6017152087,199.76948963,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0642.html,BLG715.13  ,17:34:09.47,-24:52:57.1,2457314.420,2015-10-18.92,120.795,0.161,6.263,1.992,1.000,16.739,16.739
True,BLG-1516,9-20-2015 0:0:0,21.1417853746,192.862742633,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1516.html,BLG505.27  ,17:59:13.76,-28:49:50.0,2457289.136,2015-09-23.64,64.333,0.343,3.042,1.208,0.341,15.072,16.241
True,BLG-1578,9-20-2015 0:0:0,23.5951645706,191.341915519,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1578.html,BLG518.22  ,18:07:31.52,-26:40:44.8,2457314.864,2015-10-19.36,53.880,0.000,16763,10.561,1.000,15.556,15.556
